station_id,station_name,location,latitude,longitude,temperature,humidity,weather,observed_time
466940,基隆,基隆,25.135104,121.732242,,,,
466900,淡水,淡水,25.166664,121.440672,,,,
466881,新北,新北,24.96099,121.516977,,,,
466930,陽明山,陽明山,25.163858,121.536313,,,,
466910,鞍部,鞍部,25.184365,121.521495,,,,
467571,新竹,新竹,24.830335,121.006343,,,,
467490,臺中,臺中,24.147494,120.675919,,,,
C0FA30,梧棲,梧棲,24.257753,120.515211,,,,
467350,澎湖,澎湖,23.56722,119.554987,,,,
467650,日月潭,日月潭,23.883099,120.899911,,,,
467530,阿里山,阿里山,23.509984,120.805129,,,,
467550,玉山,玉山,23.488964,120.951318,,,,
467480,嘉義,嘉義,23.497684,120.424796,,,,
467410,臺南,臺南,22.995039,120.196846,,,,
467441,高雄,高雄,22.732201,120.304459,,,,
467590,恆春,恆春,22.0057,120.738326,,,,
467080,宜蘭,宜蘭,24.765773,121.748322,,,,
466990,花蓮,花蓮,23.976933,121.605126,,,,
467610,成功,成功,23.099296,121.36534,,,,
467660,臺東,臺東,22.754017,121.146522,,,,
467540,大武,大武,22.357523,120.895703,,,,
467620,蘭嶼,蘭嶼,22.038737,121.55041,,,,
466950,彭佳嶼,彭佳嶼,25.629774,122.071474,,,,
467300,東吉島,東吉島,23.258999,119.659533,,,,
469020,南沙島,南沙島,10.372116,114.356938,,,,
468100,東沙島,東沙島,20.70252,116.722116,,,,
467420,永康,永康,23.040146,120.228623,,,,
C2W030,金門(東),金門(東),24.450074,118.443627,,,,
466920,臺北,臺北,25.039439,121.506628,,,,
A0G720,彰師大,彰師大,24.08314,120.548508,,,,
A0Z080,合歡山,合歡山,24.144972,121.276071,,,,
A0W080,吉貝,吉貝,23.741712,119.596041,,,,
467110,金門,金門,24.408942,118.281127,,,,
467990,馬祖,馬祖,26.171145,119.914855,,,,
A0K420,麥寮,麥寮,23.800517,120.209572,,,,
467050,新屋,新屋,25.008484,121.039271,,,,
A2K570,古坑(花卉中心),古坑(花卉中心),23.6353,120.54428,,,,
CAAH60,大安森林,大安森林,25.031331,121.528056,,,,
CAHA00,消防署訓練中心,消防署訓練中心,23.82313,120.7148,,,,
467270,田中,田中,23.875561,120.573149,,,,
CAC040,拉拉山,拉拉山,24.7011,121.418933,,,,
CAW010,東引,東引,26.360539,120.475308,,,,
CAP070,高雄燈塔,高雄燈塔,22.616364,120.256631,,,,
A0F010,武陵,武陵,24.354609,121.300112,,,,
467280,後龍,後龍,24.650318,120.823641,,,,
467290,古坑,古坑,23.635401,120.543769,,,,
C2C410,中央大學,中央大學,24.969417,121.176946,,,,
A0A460,文化大學,文化大學,25.137855,121.531657,,,,
A0A010,臺灣大學,臺灣大學,25.01606,121.531193,,,,
72S200,班鳩分場,班鳩分場,22.831307,121.069619,,,,
72S590,賓朗果園,賓朗果園,22.815668,121.063204,,,,
82S580,臺東茶改,臺東茶改,22.909476,121.12206,,,,
U2H480,臺大溪頭,臺大溪頭,23.672071,120.790065,,,,
72G600,臺中農改,臺中農改,24.004779,120.526236,,,,
72K220,雲林分場,雲林分場,23.636304,120.469202,,,,
72N100,臺南農改,臺南農改,23.062242,120.334096,,,,
72V140,旗南農改,旗南農改,22.859612,120.508583,,,,
72Q010,高雄農改,高雄農改,22.711084,120.517814,,,,
B2E890,新竹畜試,新竹畜試,24.529569,120.762788,,,,
72C440,桃園農改,桃園農改,24.952721,121.022375,,,,
72D080,五峰站,五峰站,24.613978,121.148983,,,,
82C160,茶改場,茶改場,24.910258,121.17713,,,,
A2C560,農工中心,農工中心,24.987706,121.231626,,,,
82A750,文山茶改,文山茶改,24.957588,121.623022,,,,
72U480,蘭陽分場,蘭陽分場,24.688121,121.708402,,,,
K2E360,苗栗農改,苗栗農改,24.497488,120.82093,,,,
K2E710,大湖分場,大湖分場,24.42463,120.863657,,,,
K2F750,種苗繁殖,種苗繁殖,24.227737,120.792753,,,,
82H840,凍頂茶改,凍頂茶改,23.76429,120.732364,,,,
82H320,魚池茶改,魚池茶改,23.877382,120.905442,,,,
U2HA50,臺大竹山,臺大竹山,23.758731,120.67342,,,,
G2L020,嘉義農試,嘉義農試,23.486776,120.465684,,,,
72M360,義竹分場,義竹分場,23.362432,120.271244,,,,
B2N890,畜試所,畜試所,23.060713,120.328308,,,,
G2P820,鳳山農試,鳳山農試,22.648354,120.34801,,,,
B2Q810,恆春畜試,恆春畜試,21.947348,120.794139,,,,
72T250,花蓮農改,花蓮農改,23.977028,121.555752,,,,
E2H360,蓮華池,蓮華池,23.920106,120.877136,,,,
72HA00,埔里分場,埔里分場,23.904982,120.955222,,,,
U2HA30,臺大和社,臺大和社,23.592633,120.880744,,,,
U2HA40,臺大內茅埔,臺大內茅埔,23.691497,120.842992,,,,
G2M350,溪口農場,溪口農場,23.587406,120.399994,,,,
E2K600,四湖植物園,四湖植物園,23.678718,120.155296,,,,
G2F820,農業試驗所,農業試驗所,24.033022,120.679986,,,,
72M700,嘉義分場,嘉義分場,23.418608,120.274941,,,,
72N240,七股研究中心,七股研究中心,23.083472,120.054792,,,,
42HA10,萬大發電廠,萬大發電廠,23.980611,121.131497,,,,
12Q970,東港工作站,東港工作站,22.481778,120.458017,,,,
12J990,口湖工作站,口湖工作站,23.591722,120.172281,,,,
12Q980,恆春工作站,恆春工作站,22.081478,120.706406,,,,
V2K610,大庄合作社,大庄合作社,23.80855,120.359808,,,,
V2K620,麥寮合作社,麥寮合作社,23.755583,120.286657,,,,
E2S980,太麻里(1),太麻里(1),22.600724,120.971991,,,,
E2S960,太麻里(2),太麻里(2),22.599802,120.9897,,,,
72AI40,桃改臺北,桃改臺北,24.946279,121.378755,,,,
E2HA20,畢祿溪站,畢祿溪站,24.22873,121.300362,,,,
A2N290,蘭花園區,蘭花園區,23.342018,120.371562,,,,
B2U990,宜蘭畜試,宜蘭畜試,24.670842,121.824362,,,,
A2K630,雲林臺大,雲林臺大,23.732381,120.415777,,,,
E2P980,六龜林試,六龜林試,22.993482,120.637645,,,,
E2P990,扇平林試,扇平林試,22.969481,120.677627,,,,
A2K360,臺西水試,臺西水試,23.718974,120.182399,,,,
V2C250,八德合作社,八德合作社,24.939471,121.258178,,,,
V2C260,八德蔬果,八德蔬果,24.980279,121.27356,,,,
72D680,新埔工作站,新埔工作站,24.836,121.058,,,,
G2AI50,台農院關渡站,台農院關渡站,25.117528,121.483769,,,,
CAH030,茶改場竹圍站,茶改場竹圍站,23.861844,120.629392,,,,
CAN130,水試所海水繁養殖中心,水試所海水繁養殖中心,23.122553,120.071594,,,,
CAL110,布袋國中,布袋國中,23.360676,120.17216,,,,
CAG100,王功漁港,王功漁港,23.969984,120.317718,,,,
CAJ050,海口故事園區,海口故事園區,23.577174,120.133097,,,,
CAN140,六官養殖協會,六官養殖協會,23.230568,120.29153,,,,
CAQ030,崎峰國小,崎峰國小,22.427434,120.487171,,,,
C2M960,外寮,外寮,23.564411,120.657572,,,,
C2M970,碧湖,碧湖,23.570397,120.616047,,,,
C2R170,屏東,屏東,22.662048,120.485974,,,,
C2V310,美濃,美濃,22.900567,120.511,,,,
C2M980,安和,安和,23.515523,120.30782,,,,
C2M990,大巃頂,大巃頂,23.556466,120.606275,,,,
C2N170,茅港尾,茅港尾,23.207857,120.254311,,,,
C2R980,竹田國中,竹田國中,22.617101,120.516069,,,,
C2R990,泰武,泰武,22.608649,120.689598,,,,
C2TA60,六十石,六十石,23.226575,121.310513,,,,
C2TA70,赤科坪,赤科坪,23.400655,121.383571,,,,
C2UC10,出水溪,出水溪,24.617617,121.644058,,,,
