station_id,station_name,location,latitude,longitude,temperature,humidity,weather,observed_time,pressure,wind_speed,uv_index
C2R980,竹田國中,竹田國中,22.617101,120.516069,28.1,62.0,陰,,-99,3.8,-99
C2R970,屏科大,屏科大,22.65006,120.611193,27.6,62.0,陰,,-99,2.4,-99
C2R170,屏東,屏東,22.662048,120.485974,27.5,65.0,陰,,-99,0.7,-99
72Q010,高雄農改,高雄農改,22.711084,120.517814,27.4,63.0,陰,,-99,2.2,-99
C2O930,玉井,玉井,23.127833,120.452472,27.2,63.0,多雲,,-99,1.2,-99
CAQ010,國三N425K,國三N425K,22.482061,120.523624,27.2,71.0,陰,,-99,3.4,-99
CAQ020,國三S415K,國三S415K,22.569782,120.519952,27.2,63.0,陰,,-99,5.0,-99
C2RA10,大新,大新,22.677362,120.569824,27.1,61.0,陰,,-99,4.4,-99
467590,恆春,恆春,22.0057,120.738326,26.9,68.0,晴,,1009.4,2.7,2
12Q970,東港工作站,東港工作站,22.481778,120.458017,26.8,67.0,陰,,-99,4.0,-99
12Q980,恆春工作站,恆春工作站,22.081478,120.706406,26.6,64.0,晴,,-99,5.3,-99
C2V260,月眉,月眉,22.972778,120.531778,26.6,66.0,多雲,,-99,2.2,-99
C2N180,鹿陶洋,鹿陶洋,23.145019,120.475434,26.6,63.0,多雲,,-99,2.2,-99
C2V310,美濃,美濃,22.900567,120.511,26.3,67.0,陰,,-99,3.5,-99
B2Q810,恆春畜試,恆春畜試,21.947348,120.794139,26.3,69.0,晴,,-99,2.8,-99
CAP060,國三S385K,國三S385K,22.769552,120.436379,26.2,73.0,陰,,-99,1.6,-99
CAV270,國一S336K,國一S336K,22.89593,120.263097,26.1,75.0,陰,,-99,2.2,-99
E2S960,太麻里(2),太麻里(2),22.599802,120.9897,26.1,68.0,陰,,-99,0.8,-99
CAP020,國一S346K,國一S346K,22.81399,120.306103,26.1,80.0,陰,,-99,0.8,-99
G2P820,鳳山農試,鳳山農試,22.648354,120.34801,26.1,71.0,陰,,-99,2.6,-99
C2V580,瑞山,瑞山,22.904811,120.42617,26.1,66.0,陰,,-99,2.7,-99
72N100,臺南農改,臺南農改,23.062242,120.334096,26.0,69.0,陰,,-99,-99,-99
CAV280,國三S378K,國三S378K,22.82773,120.407455,26.0,79.0,陰,,-99,3.1,-99
E2P980,六龜林試,六龜林試,22.993482,120.637645,26.0,66.0,多雲,,-99,1.6,-99
72V140,旗南農改,旗南農改,22.859612,120.508583,26.0,65.0,陰,,-99,4.2,-99
467441,高雄,高雄,22.732201,120.304459,26.0,72.0,陰,,1011.4,2.6,1
467660,臺東,臺東,22.754017,121.146522,25.9,73.0,多雲,,1011.5,1.1,2
467540,大武,大武,22.357523,120.895703,25.9,74.0,多雲,,1011.7,1.0,2
C2TB70,達谷寮,達谷寮,23.381804,121.351573,25.8,65.0,陰,,-99,1.0,-99
CAP040,國一N361K,國一N361K,22.682326,120.320557,25.7,83.0,陰,,-99,2.2,-99
